epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.9118,0.66881,1.66787,3.83787,1.02611,0,0.02627,0.77585,0.19362,0.19008,0.02627,0.77585,0.19456,0.19021,0.44871,1.15645,3.451,0.8576,0,0.00072,0.00024,0.00072,0.00024,0.00072,0.00024,0.00072,0.00024
2,15.969,0.51745,1.08081,3.53245,0.94591,0,0.02741,0.80357,0.24457,0.24033,0.02746,0.8125,0.24557,0.2415,0.32051,0.73042,3.3373,0.79443,0,0.00145545,0.000485149,0.00145545,0.000485149,0.00145545,0.000485149,0.00145545,0.000485149
3,20.7832,0.43434,0.73763,3.05543,0.89489,0,1,0.17312,0.25969,0.25424,1,0.17312,0.25995,0.2551,0.29167,0.50804,2.95878,0.76359,0,0.00217604,0.000725348,0.00217604,0.000725348,0.00217604,0.000725348,0.00217604,0.000725348
4,25.2961,0.39079,0.62857,2.33529,0.86451,0,0.99795,0.20395,0.33576,0.32305,0.99795,0.20395,0.33609,0.32279,0.27417,0.39376,2.08254,0.75123,0,0.00288179,0.000960597,0.00288179,0.000960597,0.00288179,0.000960597,0.00288179,0.000960597
5,29.6555,0.38895,0.6239,1.83367,0.86125,0,0.46087,0.51916,0.50292,0.46772,0.46087,0.51916,0.50292,0.46608,0.26021,0.36294,1.58946,0.74313,0,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,33.9295,0.34749,0.5918,1.58881,0.85588,0,0.69814,0.51834,0.61119,0.56978,0.69814,0.51834,0.61119,0.57031,0.25367,0.35564,1.18497,0.74713,0,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,38.1615,0.36773,0.5539,1.41824,0.86199,0,0.66191,0.76654,0.75324,0.71112,0.66191,0.76654,0.75346,0.70219,0.24666,0.36621,0.93899,0.75136,0,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,42.5317,0.32801,0.47099,1.26578,0.85521,0,0.77676,0.85776,0.8208,0.78714,0.77676,0.85776,0.82269,0.78172,0.23254,0.39484,0.84523,0.74891,0,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,46.795,0.32639,0.43386,1.18065,0.8544,0,0.77134,0.89845,0.84126,0.79831,0.77134,0.89845,0.84138,0.79526,0.23365,0.51252,0.76951,0.74111,0,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,51.2026,0.29429,0.424,1.10345,0.82856,0,0.8132,0.89153,0.8876,0.84565,0.8132,0.89153,0.8876,0.83293,0.22002,0.45392,0.66809,0.73829,0,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,55.3883,0.30742,0.42823,1.04916,0.83512,0,0.90186,0.89756,0.93697,0.89883,0.90186,0.89756,0.93672,0.88869,0.20205,0.39324,0.60805,0.7374,0,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,59.802,0.29442,0.40995,0.95029,0.8262,0,0.97641,0.92852,0.96045,0.92562,0.97641,0.92852,0.96045,0.9005,0.18652,0.42015,0.53625,0.73286,0,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,63.9984,0.34027,0.40969,1.07988,0.83738,0,0.99494,0.94325,0.96514,0.92798,0.99494,0.94325,0.96507,0.90756,0.19926,0.45328,0.49662,0.73067,0,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,68.1866,0.27978,0.38572,0.88712,0.82748,0,0.971,0.95134,0.97316,0.93657,0.971,0.95134,0.97316,0.93052,0.20734,0.40777,0.4681,0.73192,0,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,72.375,0.26891,0.36092,0.8118,0.81511,0,0.96099,0.95908,0.97203,0.93446,0.96099,0.95908,0.97193,0.92482,0.20485,0.3612,0.44388,0.72834,0,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,76.6035,0.26079,0.31791,0.80529,0.82837,0,0.969,0.94412,0.97211,0.94221,0.969,0.94412,0.9722,0.92974,0.20861,0.3525,0.43425,0.72661,0,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,81.0462,0.27494,0.32939,0.79058,0.82711,0,0.98825,0.94668,0.97656,0.9423,0.98825,0.94668,0.97656,0.93219,0.19961,0.29758,0.43778,0.72528,0,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,85.4231,0.27192,0.34293,0.74715,0.82308,0,0.98552,0.95383,0.97392,0.93939,0.98552,0.95383,0.97475,0.92247,0.2013,0.29983,0.45189,0.72597,0,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,89.6213,0.26671,0.3561,0.73997,0.82392,0,0.98578,0.95338,0.97485,0.93722,0.98578,0.95338,0.97485,0.92328,0.21056,0.30902,0.45236,0.72934,0,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
